Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Agra,Achnera,Potato,Desi,FAQ,750,830,790,30-Apr-21
2,Agra,Achnera,Potato,Desi,FAQ,710,770,740,28-Apr-21
3,Agra,Achnera,Potato,Desi,FAQ,710,790,750,27-Apr-21
4,Agra,Achnera,Potato,Desi,FAQ,690,790,740,25-Apr-21
5,Agra,Achnera,Potato,Desi,FAQ,700,780,740,24-Apr-21
6,Agra,Achnera,Potato,Desi,FAQ,700,760,730,23-Apr-21
7,Agra,Achnera,Potato,Desi,FAQ,660,760,710,21-Apr-21
8,Agra,Achnera,Potato,Desi,FAQ,670,740,710,20-Apr-21
9,Agra,Achnera,Potato,Desi,FAQ,680,760,720,19-Apr-21
10,Agra,Achnera,Potato,Desi,FAQ,680,740,710,17-Apr-21
11,Agra,Achnera,Potato,Desi,FAQ,650,740,695,16-Apr-21
12,Agra,Achnera,Potato,Desi,FAQ,640,740,690,14-Apr-21
13,Agra,Achnera,Potato,Desi,FAQ,670,750,710,13-Apr-21
14,Agra,Achnera,Potato,Desi,FAQ,700,800,750,12-Apr-21
15,Agra,Achnera,Potato,Desi,FAQ,690,780,735,11-Apr-21
16,Agra,Achnera,Potato,Desi,FAQ,680,780,730,10-Apr-21
17,Agra,Achnera,Potato,Desi,FAQ,650,750,700,9-Apr-21
18,Agra,Achnera,Potato,Desi,FAQ,670,730,700,7-Apr-21
19,Agra,Achnera,Potato,Desi,FAQ,670,730,700,6-Apr-21
20,Agra,Achnera,Potato,Desi,FAQ,680,760,720,5-Apr-21
21,Agra,Achnera,Potato,Desi,FAQ,680,740,710,4-Apr-21
22,Agra,Achnera,Potato,Desi,FAQ,640,720,680,3-Apr-21
23,Agra,Achnera,Potato,Desi,FAQ,630,690,660,2-Apr-21
24,Agra,Achnera,Potato,Desi,FAQ,620,720,670,31-Mar-21
25,Agra,Achnera,Potato,Desi,FAQ,600,700,650,30-Mar-21
26,Agra,Achnera,Potato,Desi,FAQ,600,680,640,28-Mar-21
27,Agra,Achnera,Potato,Desi,FAQ,600,660,630,27-Mar-21
28,Agra,Achnera,Potato,Desi,FAQ,600,680,640,26-Mar-21
29,Agra,Achnera,Potato,Desi,FAQ,590,670,630,23-Mar-21
30,Agra,Achnera,Potato,Desi,FAQ,600,660,630,22-Mar-21
31,Agra,Achnera,Potato,Desi,FAQ,590,670,630,21-Mar-21
32,Agra,Achnera,Potato,Desi,FAQ,600,680,640,20-Mar-21
33,Agra,Achnera,Potato,Desi,FAQ,590,670,630,19-Mar-21
34,Agra,Achnera,Potato,Desi,FAQ,600,660,630,17-Mar-21
35,Agra,Achnera,Potato,Desi,FAQ,550,650,600,16-Mar-21
36,Agra,Achnera,Potato,Desi,FAQ,520,600,560,15-Mar-21
37,Agra,Achnera,Potato,Desi,FAQ,530,590,560,14-Mar-21
38,Agra,Achnera,Potato,Desi,FAQ,500,580,540,13-Mar-21
39,Agra,Achnera,Potato,Desi,FAQ,500,580,540,12-Mar-21
